id,ra,dec,zfinal,mass_med,sersic,radius_sersic,MAG_BEST,C,A,S,G,M20,M,I,D,G2,Base_flag,Type
207973,149.772345,2.066171,2.6224,9.95593,8.383782976,9.07477E-06,23.9218,3.075437,0.0383,0,0.569532,-1.647813,0.019608,0,0.074568,1.479034,0,SPH
207981,149.786302,2.061179,3.5312,9.3257,8.39038426,0.00026253,25.4069,2.92817,-0.02633,0.008305,0.509079,-1.602912,0.077181,0.094462,0.121564,2.029003,0,LTD
207986,149.773635,2.065823,1.8229,8.78259,0.733150587,6.03774E-05,25.2071,2.52585,-0.148142,0.034175,0.457366,-1.359932,1,0.824269,0.420152,2.027337,0,UNC
208001,149.730877,2.0813,2.4867,8.77052,1.482000275,5.28871E-05,24.7406,2.287957,-0.029716,-0.250597,0.503138,-1.005633,0.505051,0.7484,0.493326,2.073097,0,IRR
208008,149.729789,2.081819,2.5128,10.21677,4.677975195,2.16371E-05,23.7468,3.489517,-0.015208,0.021525,0.527077,-2.098549,0.030675,0.01482,0.058784,1.908867,0,SPH
208017,149.830638,2.045265,0.5907,9.10762,2.583068084,3.6153E-05,23.3534,3.706938,-0.148641,-0.006059,0.580422,-2.070214,0.048872,0.018217,0.052997,1.934715,0,SPH
208018,149.815554,2.050618,1.1944,10.22819,0.778732048,6.63878E-05,22.8014,2.968295,0.080258,0.0246,0.507237,-1.582032,0.027184,0.371795,0.103899,1.962446,0,ETD
208019,149.776752,2.064872,0.6175,8.83786,2.467828184,3.31613E-05,23.7978,3.3452,-0.027914,-0.006139,0.541907,-1.959459,0.088889,0.019784,0.026895,2.019071,0,SPH
208024,149.742209,2.077447,3.2744,9.20181,0.825952821,9.29674E-05,24.2612,2.718798,0.213384,0.053087,0.516765,-1.274012,1,0.468318,0.020473,,,UNC
208031,149.824301,2.047519,1.4587,10.59675,1.06898113,0.000101221,21.8363,2.523695,0.094463,0.012107,0.450707,-1.71871,0.097852,0.307837,0.059999,1.961743,0,LTD
208042,149.782673,2.062883,3.2913,10.4856,0.925104856,6.1383E-05,23.3618,2.552521,0.153568,0.019452,0.495482,-1.415316,0.012245,0.014597,0.149391,1.988872,0,LTD
208050,149.751439,2.074276,1.4574,9.46059,1.222402149,5.67116E-05,24.0466,2.801965,-0.058545,0.012879,0.535718,-1.800078,0.065693,0.028556,0.055958,2.018072,0,ETD
208056,149.7791,2.064252,1.8183,8.83492,0.389648597,0.000104774,27.5577,2.504069,-0.179644,0,0.563976,-0.68513,1,0,0.08886,2.103427,0,UNC
208057,149.76965,2.067774,4.8762,8.83107,1.122939014,1.29015E-05,26.2745,2.901147,0.138412,0,0.550046,-1.957592,0.060976,0.0169,0.109662,2.015919,0,LTD
208062,149.772015,2.066846,2.5613,9.8673,1.727747123,6.34395E-05,24.5604,2.939368,-0.020788,-0.044378,0.4454,-1.732557,0.122302,0.134902,0.144306,2.030452,0,ETD
208066,149.743253,2.077232,1.6435,9.58388,1.246864779,6.99609E-05,23.3695,2.728115,0.086384,0.067727,0.504729,-1.491341,0.136778,0.510429,0.255783,2.003373,0,ETD
208068,149.81237,2.052147,2.0338,9.50852,1.670233334,8.13845E-05,23.6243,2.94592,-0.206032,-0.117985,0.497707,-1.865913,0.111111,0.170386,0.062954,2.019831,0,ETD
208074,149.754695,2.073296,2.7326,8.81363,0.646290852,6.72035E-05,27.7842,2.088834,-0.429896,0,0.446834,-0.657555,1,0,0.176745,2.083828,8192,IRR
208082,149.834484,2.044394,1.3286,9.17065,1.374585926,0.000104382,24.2833,2.98257,-0.133586,0.013534,0.494353,-1.442265,1,0.900364,0.228066,2.004379,0,UNC
208083,149.778838,2.064647,4.4943,9.2518,1.020389602,5.33883E-05,25.1409,2.716332,0.128924,0.011925,0.430437,-1.416151,0.214286,0.364438,0.154603,2.010218,0,LTD
208096,149.819499,2.049969,3.134,9.09318,0.887273326,2.10102E-05,24.5166,2.497609,0.092469,0,0.482794,-1.618033,0.037037,0,0.108658,1.97403,0,ETD
208097,149.766634,2.069245,3.8921,8.95058,0.300742392,7.54183E-05,25.4783,2.216303,-0.013797,-0.031893,0.417571,-0.985066,0.282051,0.920408,0.576032,2.029677,0,IRR
208106,149.808924,2.053939,4.4331,8.94201,1.34609389,8.17809E-05,25.6717,2.720152,0.000464,-0.013217,0.477331,-1.256709,0.195122,0.26021,0.21477,2.012931,0,UNC
208110,149.804163,2.055384,1.603,10.9,3.798070844,4.09208E-05,21.6214,4.038086,0.043661,0.000707,0.620999,-2.234132,0.020785,0.009446,0.042191,0.817168,0,SPH
208111,149.838831,2.043159,3.2551,8.93947,1.654699007,3.14705E-05,25.8109,2.507303,-0.076436,0.041606,0.465979,-1.579837,0.00813,0,0.093501,2.01688,0,LTD
208122,149.751531,2.07491,1.4659,9.33592,0.490170302,0.000123987,23.9121,3.012699,0.014943,0.018883,0.556263,-1.363783,0.10687,0.097925,0.058104,2.011481,0,ETD
208129,149.800735,2.056954,2.1094,9.7298,0.526532549,9.96335E-05,23.2594,2.444269,-0.01573,0.032232,0.518327,-1.319688,0.8,0.770462,0.262628,2.003986,0,IRR
208148,149.747631,2.076544,1.1613,8.80806,0.45113692,4.39615E-05,24.8893,2.758562,-0.044836,0.136396,0.435401,-1.307469,0.063291,0.107984,0.150851,2.075119,0,UNC
208149,149.83629,2.04423,1.0639,9.84874,0.60028328,4.27222E-05,22.7082,2.596233,0.028255,0.04372,0.536924,-1.576655,0.015152,0.004008,0.110847,1.957546,0,ETD
208153,149.746343,2.077075,1.2395,8.88251,1.673348317,3.65165E-05,24.9507,3.008788,-0.042846,0.047479,0.514688,-1.651753,0.017241,0,0.182154,2.011212,0,ETD
208176,149.743594,2.078333,2.1689,8.94517,0.788952189,4.43249E-05,24.3428,2.426483,0.052071,0.05943,0.473222,-1.501607,0.039474,0.061363,0.095512,2.004456,0,UNC
208177,149.795343,2.059612,4.5623,8.98261,1.391598758,3.20064E-05,25.952,2.891938,-0.114894,0.041089,0.522214,-1.592397,0.054795,0.071937,0.098143,2.021133,0,LTD
208181,149.77632,2.065583,3.875,9.08841,1.812880462,3.16676E-05,24.5129,3.203801,-0.028529,-0.047597,0.525148,-2.041298,0.182898,0.086278,0.078459,2.010236,0,LTD
